0,1,2,3,4,5,6,7,8,9,10
400,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
410,0.02592,0.02592,0.02592,0.02592,0.02592,0.02592,0.02592,0.02592,0.02592,0.02592
420,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344
430,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216,0.0216
440,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204
450,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
460,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188
470,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184
480,0.02024,0.02024,0.02024,0.02024,0.02024,0.02024,0.02024,0.02024,0.02024,0.02024
490,0.02432,0.02432,0.02432,0.02432,0.02432,0.02432,0.02432,0.02432,0.02432,0.02432
500,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
510,0.03296,0.03296,0.03296,0.03296,0.03296,0.03296,0.03296,0.03296,0.03296,0.03296
520,0.03752,0.03752,0.03752,0.03752,0.03752,0.03752,0.03752,0.03752,0.03752,0.03752
530,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438
540,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518
550,0.0598,0.0598,0.0598,0.0598,0.0598,0.0598,0.0598,0.0598,0.0598,0.0598
560,0.06924,0.06924,0.06924,0.06924,0.06924,0.06924,0.06924,0.06924,0.06924,0.06924
570,0.07868,0.07868,0.07868,0.07868,0.07868,0.07868,0.07868,0.07868,0.07868,0.07868
580,0.09932,0.09932,0.09932,0.09932,0.09932,0.09932,0.09932,0.09932,0.09932,0.09932
590,0.13116,0.13116,0.13116,0.13116,0.13116,0.13116,0.13116,0.13116,0.13116,0.13116
600,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163
610,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182,0.2182
620,0.2734,0.2734,0.2734,0.2734,0.2734,0.2734,0.2734,0.2734,0.2734,0.2734
630,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122,0.3122
640,0.3346,0.3346,0.3346,0.3346,0.3346,0.3346,0.3346,0.3346,0.3346,0.3346
650,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357
660,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806
670,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042
680,0.4384,0.4384,0.4384,0.4384,0.4384,0.4384,0.4384,0.4384,0.4384,0.4384
690,0.4832,0.4832,0.4832,0.4832,0.4832,0.4832,0.4832,0.4832,0.4832,0.4832
700,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528
