0,1,2,3,4,5,6,7,8,9,10
400,0.0062,0.0092,0.0795,0.616,1.69,0.63,1.83,2.28,4.02,5.36
410,0.005648,0.00854,0.07698,0.5916,1.622,0.6048,1.758,2.192,3.864,5.152
420,0.005096,0.00788,0.07446,0.5672,1.554,0.5796,1.686,2.104,3.708,4.944
430,0.004618,0.007302,0.07216,0.5448,1.492,0.5564,1.62,2.022,3.564,4.75
440,0.004214,0.006806,0.07008,0.5244,1.436,0.5352,1.56,1.946,3.432,4.57
450,0.00381,0.00631,0.068,0.504,1.38,0.514,1.5,1.87,3.3,4.39
460,0.00351,0.00593,0.0662,0.486,1.332,0.496,1.444,1.806,3.184,4.238
470,0.00321,0.00555,0.0644,0.468,1.284,0.478,1.388,1.742,3.068,4.086
480,0.002946,0.00521,0.06274,0.4514,1.2384,0.461,1.338,1.68,2.96,3.942
490,0.002718,0.00491,0.06122,0.4362,1.1952,0.445,1.294,1.62,2.86,3.806
500,0.00249,0.00461,0.0597,0.421,1.152,0.429,1.25,1.56,2.76,3.67
510,0.002314,0.004374,0.05842,0.4074,1.1152,0.4154,1.21,1.512,2.672,3.554
520,0.002138,0.004138,0.05714,0.3938,1.0784,0.4018,1.17,1.464,2.584,3.438
530,0.00198,0.003924,0.05592,0.3812,1.044,0.389,1.132,1.418,2.502,3.328
540,0.00184,0.003732,0.05476,0.3696,1.012,0.377,1.096,1.374,2.426,3.224
550,0.0017,0.00354,0.0536,0.358,0.98,0.365,1.06,1.33,2.35,3.12
560,0.001592,0.003384,0.0526,0.3476,0.9512,0.3542,1.03,1.29,2.282,3.028
570,0.001484,0.003228,0.0516,0.3372,0.9224,0.3434,1,1.25,2.214,2.936
580,0.001388,0.003086,0.05064,0.3274,0.8954,0.3332,0.9712,1.214,2.15,2.85
590,0.001304,0.002958,0.04972,0.3182,0.8702,0.3236,0.9436,1.182,2.09,2.77
600,0.00122,0.00283,0.0488,0.309,0.845,0.314,0.916,1.15,2.03,2.69
610,0.001148,0.002722,0.048,0.3006,0.8222,0.3056,0.8916,1.118,1.974,2.618
620,0.001076,0.002614,0.0472,0.2922,0.7994,0.2972,0.8672,1.086,1.918,2.546
630,0.0010118,0.002516,0.04644,0.2844,0.7778,0.2892,0.844,1.056,1.866,2.478
640,0.0009554,0.002428,0.04572,0.2772,0.7574,0.2816,0.822,1.028,1.818,2.414
650,0.000899,0.00234,0.045,0.27,0.737,0.274,0.8,1,1.77,2.35
660,0.0008522,0.00226,0.04436,0.2632,0.719,0.2672,0.78,0.976,1.726,2.29
670,0.0008054,0.00218,0.04372,0.2564,0.701,0.2604,0.76,0.952,1.682,2.23
680,0.0007626,0.002108,0.04312,0.25,0.6836,0.254,0.741,0.9286,1.64,2.174
690,0.0007238,0.002044,0.04256,0.244,0.6668,0.248,0.723,0.9058,1.6,2.122
700,0.000685,0.00198,0.042,0.238,0.65,0.242,0.705,0.883,1.56,2.07
